id,name,createdAt,expiresAt,rateType,rateTimestamp,status,totalCostHistorical,totalCostEstimated,currency,exportCreatedAt,item/serviceCode,item/usageType,item/operation,item/location,item/usageId,item/usageAccountId,item/accountName,item/group,item/quantity/unit,item/quantity/amount,item/costSummary/cost,item/costSummary/currency,item/costSummary/status,item/historicalUsage
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,ZA-DataTransfer-Out-Bytes,,,14c47510-7eca-4fc1-90b6-a758c8bb2151,426728254606,,project1-static-webste-cdn,GB,0.5,0.055,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,US-DataTransfer-Out-OBytes,,,14f9a28d-2430-49c5-8059-b9e9d2a9f2ba,426728254606,,project1-static-webste-cdn,GB,0.5,0.01,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,ZA-DataTransfer-Out-OBytes,,,235e455b-8e38-4990-a6e9-bf2d1f5e4f75,426728254606,,project1-static-webste-cdn,GB,0.5,0.03,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonS3,USE2-TimedStorage-ByteHrs,,us-east-2,341e607c-a61b-48ec-a6f3-42f97e83ff9c,426728254606,,project1-static-webste-cdn,GB-Mo,1,0.023,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,ZA-Requests-HTTPS-Proxy,,,4a067371-9dd4-449a-a507-12694f4e7454,426728254606,,project1-static-webste-cdn,Requests,5000,0.006,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AWSLambda,USE2-Request,,us-east-2,5d7985b4-931b-4e23-b392-690f0360ade3,426728254606,,serverless-API,Request,10000,0.002,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AWSLambda,USE2-Lambda-GB-Second,,us-east-2,83e5187b-0127-46c1-9c96-b75ab93c9dab,426728254606,,serverless-API,Lambda-GB-Second,125,0.002083337,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,US-DataTransfer-Out-Bytes,,,841492ef-2e6c-4351-af06-c111a677d13b,426728254606,,project1-static-webste-cdn,GB,0.5,0.0425,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonCloudFront,US-Requests-HTTPS-Proxy,,,928c9fa0-783a-49b1-8b29-fbd7492641f8,426728254606,,project1-static-webste-cdn,Requests,5000,0.005,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonS3,USE2-Requests-Tier1,,us-east-2,aa5fe2da-de2b-4e0c-be21-433f56078a9b,426728254606,,project1-static-webste-cdn,Requests,100,0.0005,USD,new,
477df3b3-3e92-44f0-a135-4ac4a71b5a21,sule-estimate,"April 13, 2026 at 15:04 (UTC+1:00)","May 13, 2027 at 15:04 (UTC+1:00)",BEFORE_DISCOUNTS,"April 13, 2026 at 15:04 (UTC+1:00)",VALID,0,0.186083338,USD,"April 13, 2026 at 17:56 (UTC+1:00)",AmazonApiGateway,USE2-ApiGatewayHttpRequest,ApiGatewayHttpApi,us-east-2,f8bb5c26-2180-4032-9d07-1970c10b957d,426728254606,,serverless-API,Requests,10000,0.01,USD,new,